Index,URL,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
1,https://open.spotify.com/track/53LQQoBP6sBVFvNr3q3Fa0,Wauve,Pamela,2020-08-20,0.784,0.733,4,-6.136,0,0.0992,0.127,0.000391,0.026,0.717,100.012,235560,4
2,https://open.spotify.com/track/0Tfeagn4SfS9qWtxOJEcVC,Joeboy,Call,2020-04-10,0.761,0.633,0,-6.319,1,0.0409,0.391,0.00162,0.101,0.712,100.005,165014,4
3,https://open.spotify.com/track/3nW0IfYLU3HH4Vj7CUkHnv,OYABUN,Tequilah (Aya),2020-09-18,0.71,0.537,4,-7.196,0,0.0566,0.197,0.479,0.15,0.332,99.968,145200,4
4,https://open.spotify.com/track/2xq4WJYKDL4tuxzkZ5qkqX,ZheroDon,One Time,2020-11-11,0.451,0.76,8,-7.0,0,0.111,0.0757,1.23e-05,0.0661,0.121,139.845,206289,5
5,https://open.spotify.com/track/2758GI1uruu2wqtacXVYvn,OYABUN,Fela,2020-10-15,0.727,0.696,8,-5.837,0,0.0616,0.0125,0.0142,0.0919,0.891,95.013,186096,4
6,https://open.spotify.com/track/6QUDlhri57ePUOp34bEd5n,6:AM,Stay,2020-11-06,0.561,0.78,11,-3.421,0,0.0402,0.649,0,0.065,0.255,87.998,259879,4
7,https://open.spotify.com/track/5JUszuVw8pZnQzSYnBLWJJ,Femi Jaye,Tree Man,2019-06-28,0.441,0.658,9,-6.131,0,0.242,0.249,0,0.0428,0.568,63.168,176170,5
8,https://open.spotify.com/track/699TWY18PQcoXRO1NMh7Qf,Kelvyn Boy,Momo - Mobile Money,2020-04-24,0.796,0.7,7,-5.799,0,0.0368,0.74,0.00235,0.16,0.547,108.015,251238,4
9,https://open.spotify.com/track/1ZEgcL1xMhsiv87lEBOiFp,O9echi,Sun Mo,2020-10-16,0.757,0.565,7,-9.42,0,0.138,0.349,0.000904,0.0963,0.667,94.088,165319,4
10,https://open.spotify.com/track/4FkCYTaZ9RwX2GeQDw7Rcg,ZheroDon,Suicide,2020-07-13,0.938,0.746,9,-3.711,0,0.106,0.367,0,0.129,0.38,109.972,209528,4
11,https://open.spotify.com/track/1t3XyERSmSrqzqbUCXUFxD,Kngran,Black Skin,2020-09-18,0.777,0.533,6,-7.201,1,0.0601,0.171,0.00318,0.142,0.512,110.045,195797,4
12,https://open.spotify.com/track/2MJY3nUTQwoYpOeLbvsRI4,Portah,Weh Yah Guh,2020-01-13,0.739,0.777,9,-4.398,1,0.064,0.345,4.3e-05,0.14,0.804,109.955,133146,4
13,https://open.spotify.com/track/4dwwlb3KaUbISsWWxF7T5i,$cholah,Shine,2020-09-28,0.824,0.561,4,-9.197,0,0.0721,0.41,0,0.102,0.356,92.992,196129,4
14,https://open.spotify.com/track/57nYzkFs9KWCNgx5pY4U0J,Jehlad,Fit Your Schedule,2020-10-01,0.802,0.722,0,-6.881,1,0.0782,0.772,1.24e-05,0.213,0.892,96.994,185604,4
15,https://open.spotify.com/track/7GDroDoHedNHlkAb4YydMY,Earth-Tone,Tonight Only,2019-12-18,0.781,0.446,4,-8.799,0,0.114,0.0887,0,0.0938,0.401,135.959,268278,4
16,https://open.spotify.com/track/3lmhZhNpOyBn7JesiL4YZ0,Earth-Tone,Link Up,2018-01-20,0.663,0.567,9,-9.9,0,0.239,0.0146,0,0.0537,0.48,93.834,178596,4
17,https://open.spotify.com/track/5f4H93KNNXqNISpqhuJ2rU,DJ Kaywise,What Type Of Dance,2020-08-04,0.91,0.741,1,-6.177,0,0.0797,0.114,3.92e-05,0.133,0.648,125.056,193985,4
18,https://open.spotify.com/track/5CpviJ3dzBPUy3YVMrvWiy,Portah,Touch You Again,2020-09-30,0.341,0.929,11,-4.354,0,0.28,0.23,0,0.13,0.789,173.717,198687,4
19,https://open.spotify.com/track/5eBtiCTjIerVaS4bRZ6mfI,Drae Divine,One Night,2019-05-31,0.616,0.747,2,-6.456,1,0.116,0.0702,4.42e-05,0.291,0.266,99.913,196056,4
20,https://open.spotify.com/track/6cF8rVwPpt6Mf2w4CH75ya,MC Babel,El Asunto,2020-09-19,0.914,0.772,8,-3.918,1,0.0629,0.275,0.00104,0.103,0.447,116.036,182416,4
21,https://open.spotify.com/track/5tv6ShGASpF9GcumFz7eT6,Black Kids Voices,Intro,2020-09-30,0.64,0.454,1,-14.007,1,0.0356,0.376,0.807,0.12,0.246,103.965,169697,4
22,https://open.spotify.com/track/4sC1oaK27imz3H8FT2o82l,MC Babel,Combate,2020-09-23,0.842,0.735,4,-5.338,0,0.257,0.0456,0,0.0938,0.726,99.934,173871,4
